r value,Index
2,0.03601169237810904
3,0.03387986324214053
4,0.036035183875542276
5,0.033720571970933574
6,0.03607857628569725
7,0.04359155147692471
8,0.03602840357855787
9,0.03403180293120579
10,0.03601302964015297
11,0.03390516472496654
12,0.0360316352225337
13,0.033918819008839855
14,0.05487720352944096
15,0.03376817158860645
16,0.036040087393739186
17,0.03362523004307489
18,0.036375582219663034
19,0.033580969798973015
20,0.035808311254287836
21,0.04370734573086701
22,0.03598736830167131
23,0.0342063008950006
24,0.035845026807383155
25,0.03344155779445324
26,0.03622949100195134
27,0.03418309572283837
28,0.05490198725492843
29,0.033781026862097024
30,0.03585695693737577
